County,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861,1860
Napa,9111,11278,12526,6064,11291,4,,,,,,,,,,,,8517,16439,16837,17479,18318,18505,18307,18342,17046,16828,17012,16066,14508,14001,15394,10189,4442,13374,13839,14331,14773,13623,13669,13751,13928,13525,12996,14398,14880,15852,15897,15954,15755,15013,15723,16536,16199,14475,14217,13778,12872,11663,11626,10648,10836,11628,11156,10757,3911,9129,9779,9902,9564,2692,3296,3223,2786,2523,2957,3100,2926,2826,3065,3743,4707,3946,5368,9086,10323,7449,8035,7826,7746,8012,7988,5843,7263,7055,3367,728,691,680,651,648,2200,3779,3773,3582,3578,3661,3385,4614,4603,4529,4326,4030,2991,2678,2795,2428,2014,2111,2039,1925,1855,1792,1810,1794,2149,2246,2179,2225,2178,1688,1935,1123,1270,1292,1554,1538,943,1183,711,464,1438,1253,298,266,260,232,108,56,23,,,,,,,,,,,,
Fresno,10803,12701,15918,9748,27056,31481,30870,34364,35418,36258,39731,41470,39884,47642,57259,61758,56526,58982,59775,51713,88654,92680,87793,94854,68294,56761,55867,56382,51169,49015,51335,49702,43224,24347,71214,69337,70258,71198,61344,53702,51689,57832,55906,54541,50570,42169,38118,38777,40103,37430,33605,34494,33996,33959,33564,33949,32879,31933,31467,31297,31312,32565,32617,30570,28955,10059,28211,28509,28952,26723,27205,29153,27687,25710,20871,18256,17400,15691,19172,18334,17513,17018,17176,17745,19196,18147,16142,15910,15638,18234,27284,29955,26918,27770,30569,27324,26064,24003,24647,16239,12303,12303,13041,12036,12663,11949,11544,12104,11904,13676,13396,10782,8573,8369,8072,6515,6286,5105,4575,4817,4849,4644,4988,4994,3840,2407,2310,3118,3044,2931,2162,1936,1906,1991,805,632,500,375,504,587,487,579,480,381,435,111,,,,,,,,,,,,,,,,
Tehama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3729,4102,4576,4566,4555,4126,3925,3864,3745,3143,3494,3083,2750,3082,3184,1108,3416,3319,,,,,,,,,2549,2750,2761,2058,3379,3451,3024,3057,3244,4208,3965,2272,2317,2425,2740,3682,3720,3584,3474,873,674,574,278,2018,1874,2267,2831,4138,4235,4261,5273,4659,2764,3128,2756,3693,3734,3853,2662,3641,4219,4185,2310,3659,4046,3984,4709,3561,4491,1603,2209,2436,2149,2245,408,,,227,400,244,,,68,219,774,272,618,249,,,,,,,,,,,,,,,,205,216,216
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11062,10135,9287,9784,10640,10874,10577,5994,4185,7248,4264,12470,11707,11813,10963,10937,10451,10438,11280,9533,9801,3159,8577,7790,7190,6870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,605,665,658,638,917,563,913,992,1005,1089,993,990,972,1037,979,1081,1071,1032,1046,972,944,985,1022,1066,979,1022,961,554,588,566,532,553,438,577,517,507,578,474,438,210,250,165,221,216,106,,,,,,,,,,,,,,,,,,
Siskiyou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,1443,1406,1277,1412,1339,1178,1148,1099,1080,1070,1084,979,1045,3561,3508,3514,3379,3197,2724,2983,960,2923,2962,3014,3013,3197,3337,3129,3451,3634,3716,3289,2755,2346,2247,2089,1696,1600,1539,1755,1746,1543,1507,616,1007,1051,1263,1207,1229,1404,1343,1298,1169,1101,1223,1086,1229,1087,,1050,1060,886,693,607,591,613,636,594,618,654,587,559,557,488,682,757,713,684,772,714,731,577,485,639,566,548,488,215,202,208,134,153,212,182,234,192,314,223,38,,,,,,,,,,,,,,,,,,
San Luis Obispo,6710,8772,10656,6593,15264,18998,3215,,,,,,,,,,,1171,3681,3482,4874,5552,3653,4112,5180,5561,6489,7026,7288,7414,7622,7924,5722,2597,6974,7208,6833,6480,5813,,,,5081,4674,4467,5651,4707,4370,3953,3262,2920,2982,3088,2940,7479,7226,6572,6288,5557,5360,3696,3012,1182,1094,1023,364,993,973,994,1089,1071,1042,970,969,926,893,849,1511,1250,937,1776,834,764,702,938,1234,855,815,1348,2007,1844,877,927,873,987,990,815,561,706,830,941,766,42,106,11,24,28,,,36,34,83,127,,,,37,27,,,,21,31,663,403,376,147,608,435,,235,354,134,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,
Sutter,,,,,,,,,,,,,,,,,,,,,,,,149,457,428,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,1535,1110,825,716,325,535,530,761,620,1079,1091,1190,2775,703,,,,,,,,,,,,189,805,1210,1640,1764,1947,1877,1579,1784,1867,1699,1550,1681,1645,1432,1330,1165,1092,775,1270,1129,1238,1171,1208,1107,1175,1175,949,633,578,771,1218,1152,1140,1020,1045,1025,1106,953,1056,1139,1056,964,313,315,260,273,285,236,243,240,251,218,234,121,,,,,,,,,,,,,,,,,,,,,
Sierra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,465,441,416,420,380,345,301,338,319,318,388,390,387,410,413,161,553,529,537,521,494,426,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,183,182,188,123,,,,,,,,,,,,,,,,,,,,,,
San Diego,,,,,,,,,,,,,,3013,2309,1701,1469,7498,50428,40614,45522,40354,30904,31034,31978,38307,60696,63145,57236,40214,67734,75294,39854,13500,42689,43376,51770,52240,46018,30237,37673,40540,25148,41130,39183,38092,36626,37406,36551,32600,31884,29077,28588,24476,21566,20832,18015,16012,15064,14181,11041,12522,12902,11209,11852,3269,9272,9138,8461,7779,7466,7822,7773,6784,6296,6453,5324,4463,4748,4837,5057,4827,4566,4651,4308,4224,3678,3781,3612,3684,3675,3428,2812,2713,2582,2466,2429,2609,2618,2663,2657,2534,2533,2345,2266,2279,2163,2357,2298,1373,867,892,971,1024,1255,1148,891,321,338,429,439,458,466,454,454,577,495,711,709,456,469,566,644,279,296,272,307,251,227,67,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3161,2943,2787,2126,2087,2251,2366,2626,2859,3259,3383,3323,3323,3009,2887,2418,2369,2930,2717,2472,2729,888,2863,2294,2036,2216,2206,2265,1274,996,1037,994,819,828,857,829,741,703,622,333,568,73,,,,,,,388,509,488,487,430,264,817,317,216,241,213,234,33,,665,450,753,719,743,745,759,758,756,717,799,746,704,559,450,286,225,625,596,662,519,360,563,235,230,221,231,72,233,467,281,66,15,21,117,,,,,,,,,,,,,,,,,,,,,
